"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-3.83936637,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.790280489,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.928051349,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.17478232,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-1.014782712,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",3.697631385,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.505565112,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.738668699,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.365381448,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.629457625,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.441599466,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.64995375,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.73915971,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.536199019,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.515931658,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.627325988,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.149766105,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.454842112,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.555787083,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.257173624,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.630363596,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.109963441,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.610854174,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.025112203,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.640828448,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-20.991372606,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.608614293,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.213880983,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.169104099,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",6.541080048,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.765907329,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.621362281,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.691608792,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.23497788,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.164616695,
"EST","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-0.185241553,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q1",1.623669913,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.178401655,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q3",1.084936779,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.208819618,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q1",2.071121216,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.757574346,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.351674826,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q4",1.525598134,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.687530547,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.869805344,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.862930332,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.107363251,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.52625079,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.166899655,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.294782542,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.155287463,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.716075654,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.756192745,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.779188032,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.666014032,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.614488704,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.85217311,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.710336729,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.829825344,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.013246175,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-1.343134517,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.78276585,
"DNK","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.222825124,
"DNK","QGDP","TOT","PC_CHGPP","Q","2016-Q1",1.152059046,
"DNK","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.352637774,
"DNK","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.848381829,
"DNK","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.720496974,
"DNK","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.654390627,
"DNK","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.117777678,
"DNK","QGDP","TOT","PC_CHGPP","Q","2017-Q3",-0.366774101,
"DNK","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.75496245,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.512055136,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.502598831,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.602133078,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.499343436,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.218153226,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.005162313,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.45731937,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.304154136,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.303746781,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.266709953,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.907743803,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.033995559,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.005006403,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.924482261,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.972452593,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.49682863,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.485584733,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.797199171,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.529824035,
"ESP","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.973057209,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.680244742,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.414833758,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.856627103,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.543757017,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.78518249,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.02435951,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.629616134,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.539328503,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.427001157,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.585880251,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.52041551,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.659258956,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.608861527,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.346200217,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.295000101,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.217169436,
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.48725517,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.826255917,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.637933629,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.058975087,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.228663315,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.352205559,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.108188446,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.26529089,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.188858719,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.458973728,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.23294816,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-0.164638293,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.746965158,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.159461143,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.195758631,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.154072489,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.820124302,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.333850777,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.848255555,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.12087973,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.107298885,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.284352523,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.503108231,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",-0.126557483,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.234418991,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.297460226,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.212840674,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-2.716787296,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.436289391,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.951718065,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.574679955,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.926516846,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.141901457,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.325515249,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.451389152,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.204341548,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.450097233,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.103428577,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.206316139,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.308548329,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.551452788,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.363886026,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.400313768,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.807055557,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.642604346,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.700646734,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.799240462,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.815912875,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.539114736,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.593611235,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.28758531,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.216034941,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.552389308,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.556300189,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.533684945,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.027582829,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.614994491,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.308824298,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.428883028,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.029469029,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.815750923,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.710251392,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.188916518,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.363015972,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.199464199,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.458859761,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.4,
"NOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-0.875165027,
"NOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.495624714,
"NOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.031783269,
"NOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",-0.307016018,
"NOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.339433996,
"NOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.133149186,
"NOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.96345788,
"NOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.685255721,
"NOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.569701184,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.490017833,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.300808205,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.6300102,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.033674237,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.443113704,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.859924439,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.568205142,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.828953858,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.291514575,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.414676326,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.434557219,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.16899443,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.52154226,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.310404971,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.445896573,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.371447629,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.721734953,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.269831516,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.53769637,
"HUN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",1.042226183,
"HUN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",-0.543052886,
"HUN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.347753556,
"HUN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.531092951,
"HUN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.859859221,
"HUN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.401256306,
"HUN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.188043345,
"HUN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.957089107,
"HUN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",1.418604967,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.7405864,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.946469799,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.514149322,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.99702368,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.926153881,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.37491612,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.426231935,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.474031107,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.536926687,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.358048646,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.938090031,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.391931123,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.117595444,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.363956069,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.703832693,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.057879554,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.582497673,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.808613743,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.434562852,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.074877,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.548501,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.491712,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",1.031214,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.561483,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.08691958,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.023044213,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.421873021,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.517990679,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.875239281,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.785105341,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.690122507,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.340869542,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.07075927,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.988110124,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.374026535,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.326868383,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.128337649,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.928273391,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.017921364,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.130500855,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.308902555,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.588596311,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.430867107,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.671567869,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.682093903,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.794953483,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.728129094,
"ARG","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-1.135181762,
"ARG","QGDP","TOT","PC_CHGPP","Q","2016-Q1",-0.878169269,
"ARG","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-1.669931611,
"ARG","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.413581958,
"ARG","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.568856776,
"ARG","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.914025093,
"ARG","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.053614116,
"ARG","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.268470665,
"ARG","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.952133449,
